,Poor or fair health raw value,Low birthweight raw value,Food environment index raw value,Access to exercise opportunities raw value,Excessive drinking raw value,Sexually transmitted infections raw value,Ratio of population to primary care physicians.,Ratio of population to mental health providers.,High school graduation raw value,Some college raw value,Unemployment raw value,Income inequality raw value,Children in single-parent households raw value,Violent crime raw value,Severe housing problems raw value,Percentage of households with overcrowding,Percentage of households with lack of kitchen or plumbing facilities,Insufficient sleep raw value,Ratio of population to primary care providers other than physicians.,Population raw value,% below 18 years of age raw value,% not proficient in English raw value,% Females raw value,% Rural raw value
1668,-0.7064221430393347,-1.075615260113383,0.5444816363386491,0.6259747168367349,0.3638540008699608,-1.116265067709366,0.5662210694838379,-0.3447688469299702,0.7675487995886098,1.252148813108475,-1.634156264881149,-0.7789312100674946,-0.8593912901606612,-0.6605629015371401,-1.4117341029212176,-0.8090858301815829,-0.7547644493417566,-1.5274170592817493,0.07372258418443355,-0.2993398238566693,0.7782667831823394,1.0756005040125856,0.3225859431187129,1.3169987318141874
2000,-1.0867062830906358,-1.019640578273573,1.7490007582086828,-0.7936438184579185,1.8036552517824658,-1.2070034848531737,-0.36229889720581093,0.2619292197879963,0.1602832672202662,0.8189253285734666,-1.7038977578427617,-0.9017705986638361,-2.27063230871543,-0.9655481200276801,-1.742482950186287,-0.5357750538190399,-0.5298777613247924,-1.6496870169733975,-0.8113309073348113,-0.2966675541557848,0.6007927638624087,-0.5318581657905743,0.2997372194774609,1.3169987318141874
475,0.632697456457055,0.2984333954989581,-1.6924824471342699,0.31966117676365313,-0.13244688453394365,3.4326476507775703,0.11500367834231609,-0.6303087048559075,-0.7342499277088868,0.700716104143192,0.3571454680611387,-1.2761883975436847,0.6855020013842059,1.226786375886851,0.5494815676016,-0.4514270571949841,-0.4807618967522858,1.8831624687618198,-0.7808533554312083,-0.12694840264735804,1.6957900282702134,-0.07242009942506741,-0.2800756691021727,-1.1264420383467888
517,1.7794820183426823,2.8715450135947833,-4.18755777100791,-1.197045815900098,-1.9714071894970573,0.18685052651448433,-1.716889386627215,-0.3447688469299702,0.1602832672202662,-3.4255347892169707,1.3125725703545095,-0.10792926821122655,1.5103564724041554,-0.3778221686564301,0.14082034693619508,-0.29612149940750226,0.43426411567967743,1.8928064550496932,-1.8512061670612026,-0.30637479903551484,-1.5247109032683217,-0.5968372704752333,0.15704838420484404,1.3169987318141874
404,0.1973680695884622,0.9942685248257402,0.11429623567078002,0.04867386504753047,-0.43126418803076844,-0.02940270553309334,0.5796389880776189,0.0881400953998499,-0.5386179263883965,-1.9673123119608833,0.13150930354909365,0.6492105714437891,0.11482203083552069,0.29952218653705515,0.46328305065555503,0.11991693959631008,-0.138676150079721,1.120299758211233,0.0019098810441692269,-0.2390245949225468,-0.4433491688216824,-0.385276792727608,-1.2265861781792582,0.6155464657024534
384,-0.11765477215663443,-0.3488346120859499,0.4584445562050756,0.5743550265941928,1.6128066400501275,0.25440467848498444,0.2575263700201428,0.27837336553555303,-0.11142282008132773,-0.6882675663489176,-0.6584404614716537,-1.3292459376345858,-0.22568547736735406,-0.16140063279974567,-0.32440593736964335,-0.20633899147739454,-0.19465143051211745,1.1002867660055553,1.1548469513223933,-0.21482103755307438,-0.23353513625775166,-0.47173647824004894,-1.764000976127893,0.09838532911025835
2552,-0.36993392129514363,1.2521879416918849,-0.8321116457985317,-2.2831762048213298,0.17331702230381454,-0.3999512195961329,4.646506899094242,2.1168822589773133,1.0812362581077999,-0.2523857215263103,-0.5603558042962627,1.4831776216951484,-0.6878667982074607,-0.8594313146357326,0.17884343801634098,-0.09703725980398394,0.26681798358380515,-0.9370538537383926,-0.15850710862623885,-0.26938938535518225,0.1700042871321774,-0.4049540195175069,0.3064628616378507,0.432329446784149
2152,0.13870405929535398,-0.24740997095379247,-2.294742008069287,-1.3625183301609658,-1.4377930976145339,-0.2344635337039017,0.9303627371673728,-0.3447688469299702,0.1602832672202662,-0.9203716197487146,-0.9826907943973036,-0.12618893423194724,-1.3790061899937913,-1.1153555184064563,-1.312955606007593,-0.036962362376575394,-0.30164815575786597,-0.4115927477646969,1.6145711833204517,-0.2966165108019476,1.5113942186283758,-0.27131552202839504,0.303428322063539,1.3169987318141874
1633,-0.21259656455279,-1.0459242057783282,-0.14381500472994127,-2.4138405019576363,0.33403723703590027,-0.2344635337039017,0.6471414400801789,-0.31007418574737755,0.7342073764967385,0.16488628096575192,-0.0522446720984955,0.13712482382620672,-2.0030999642962914,-0.046413617742281116,-1.2745657923637987,-0.199665632867171,-0.6224416146172946,-1.3192223797030844,-0.4354100168956873,-0.2988954464232638,0.4846214780749975,-0.5968372704752333,-0.08780819386315154,1.3169987318141874
2994,2.0007274716056904,1.4655378938571306,0.02825915553720651,-2.522032193377568,-1.6511145245248335,-0.42593358573863294,-0.012561422478819825,1.094687774068409,-0.018368982448035014,-1.3537334931975626,0.9909674901777187,0.7859214398756125,0.652160780809329,0.0028692576919564752,-0.1433365687295724,-0.24143497088287347,0.3116508282275743,2.265165818742748,-0.48790363454305047,-0.244158955808516,-0.20443916976691964,-0.5435310331875459,0.17218742818377233,0.7257899656428322
