,Teen births raw value
1844,24.897079004000002
2374,8.0110922816
2805,28.176001642
2501,34.007292012
2800,33.890271359
2801,11.772344112999999
2611,57.030909881999996
1247,20.815476919
294,45.173267327
1547,25.669642857
588,31.670042349
1281,33.770273273
1586,32.292032291999995
3037,33.541598159
2287,27.726831373000003
1590,32.967032967
2755,69.991180951
1417,27.307889464000002
425,27.91103358
534,73.975667739
1054,37.709976003
2379,21.759697256
2627,19.446240034000002
2929,23.9020658
132,33.263638092
2040,25.947816059
2028,12.342957902
421,54.995508534
2788,25.477707006
2378,27.149321266999998
1756,30.46728972
1368,14.15109827
556,31.121751026
2907,40.462427745999996
1656,30.579490689
2809,5.958168690700001
570,34.591747147
352,29.734970911
91,40.110650069
2230,46.186440678000004
2657,30.579490689
1170,60.202295273000004
1659,14.876033057999999
1285,25.592216582
1894,34.866624659
3098,28.429561201
1612,25.960264901
1591,28.841887295
2131,61.379182843
697,28.578094016
2629,43.28673793
348,51.679586563
1742,9.5367847411
2462,42.379625945
2550,39.842504921999996
2279,17.611456149000002
1137,44.451551007
2188,54.384858044
2475,75.845974329
2971,7.331721394600001
2955,27.887259395
1339,14.598540146
3084,18.970189702
453,16.989962325
913,18.341089515
1199,22.916120003000003
1274,16.391838332
2054,38.589850516
37,42.12004212
974,36.231197748
3113,7.2849053998
983,30.665669409
2866,14.481654250999998
2114,32.307692308
1418,31.831074693
1284,16.310574914
1829,15.30847905
39,40.401104491
1486,36.034318398
2419,22.222222222
169,39.253539254
1355,17.463371319
737,23.077595501
1732,43.066965397
2831,10.494965253
1564,32.074936134
2816,16.807334109
634,21.140609636
2921,19.480519480999998
2084,22.026167327
1640,93.75
1290,27.590847914
2453,28.808971384
1380,15.717092337999999
579,8.9203322055
328,32.451697618
2548,40.533037201999996
892,36.539069915
1143,20.213426684
780,34.268822306
159,46.658986175
1726,29.795918367
1840,12.493259033
2440,38.504002208
61,46.453006842
849,13.808340238
2238,21.130067303
3029,37.721893490999996
2087,23.075598416
1596,48.057768923999994
1043,48.145738451999996
2618,44.295302013000004
1544,44.135188867
2933,14.688278495
1913,43.080108296999995
1070,39.031272043
53,36.141636142
2562,41.079812206999996
258,19.53125
505,28.563101137
752,28.368794326
2410,26.141468490999998
217,18.479248713
824,35.02501787
2037,30.579490689
3139,31.79867343
2389,38.306451613
1389,17.184035477000002
2976,43.006822612
1266,25.025025025
2586,60.686015831000006
2603,41.210887815
1598,12.723658052000001
2153,35.9085963
1607,30.579490689
2465,44.867105583999994
771,34.081954295
2937,29.849712584000002
1954,16.158518605999998
2815,27.282648236
1085,9.716307803
1911,29.361942405
1711,30.579490689
1325,31.777956557
2227,15.644585294
1737,16.517549897000002
2320,23.271130625999998
1831,16.954437386
1403,46.786182772
1869,17.005659214
2270,32.478632479
1907,30.811586562
1163,44.766293614
963,36.796536797
3039,31.556039173000002
1850,37.444638304
398,23.378264532
584,45.373489202
948,22.142121524
704,21.794871795
431,49.723756906
1688,30.579490689
292,29.136316337
145,49.236662723
323,49.292661362
2715,40.372670807
2216,16.538902638
1165,42.768417169
1452,44.280442803999996
2,45.092838196
1712,30.579490689
576,20.444083401
2416,58.205335489
339,39.277522936
1980,47.887055232
2798,10.102107321
925,41.237113402
265,23.568190109
376,25.261273746
2461,50.040355125
1463,73.170731707
271,30.579490689
696,12.422360248
3114,5.9559586908
244,30.353612593
2948,20.61205174
476,29.655172414
2846,19.36829559
1915,35.471311751
813,12.314356436
2186,48.99040053
2661,51.208337076999996
2918,15.490345805999999
3137,34.261671008
1164,19.504310345
2281,24.539462565
250,8.6643685075
413,58.846453624
545,39.720107018
1193,25.210565519
738,31.503963078
310,7.431216251
1878,24.783671934
893,47.914818101
1131,31.566753548
1449,40.627885503
3044,35.273368606999995
15,29.525144559
2103,28.814935065
721,30.365296804
1420,58.725144025
2762,66.28958724399999
981,32.786885246
2211,22.43456585
1539,26.743737958
2654,30.579490689
1550,30.494821634
2540,30.295116218
363,19.274264923
982,30.736240172
182,30.010416839
985,24.549918167
2127,16.228237829
1194,15.988128152
1967,47.735132377
2140,55.744017603
1121,46.854397341
187,30.579490689
619,28.381813047
1795,29.39308904
1175,28.17476521
1182,17.965694816
2500,33.7221841
2312,13.770134819
614,29.234478602
1513,33.713692946
1466,32.468744169000004
401,23.478795329
994,39.316639363
934,34.303534304
371,22.458352549
2821,6.2238180729999995
2276,28.92247472
593,12.616201859
2080,11.919340354000001
726,16.983134804
826,9.9426386233
1862,12.202230599000002
687,36.016007114
2984,20.118386170999997
136,43.983795444
2664,66.009104704
628,21.058464949
334,31.16008932
1805,36.114570361
390,36.474164134
2425,35.849056604
1109,53.087349398
2649,52.582451773
2830,25.024061598000003
710,29.806065339
1039,35.915315467
2066,42.864181310999996
2051,20.683072745
2721,13.431278797000001
1561,28.686581318
2890,9.6059596158
1594,38.961038961
2983,14.568605983
2644,34.482758621
1112,18.73828857
465,27.719298246
1560,65.720174033
1223,24.804928826999998
2515,50.534499514
3107,15.580057526
2464,38.788942519
1508,23.694731891
2358,35.517326529
1104,39.473684211
660,22.348127164
2817,14.361613814000002
338,41.28
215,15.434858516
1615,58.201058201
1341,9.355509355499999
2638,35.18568964
2472,31.213872832
2995,39.745031871
1592,50.530869052
2961,28.959749085
1873,9.1041810292
2646,74.918566775
816,12.676743052
1067,48.632218845
2132,31.536113937
274,12.822002019
2359,49.380499191999995
